"ExchangeID","BrokerID","InstrumentID","InstrumentGroupID"
"SHFE","guofu","bu1609","03"
"SHFE","guofu","bu1610","03"
"SHFE","guofu","bu1611","03"
"SHFE","guofu","bu1612","03"
"SHFE","guofu","bu1701","03"
"SHFE","guofu","bu1702","03"
"SHFE","guofu","bu1703","03"
"SHFE","guofu","bu1706","03"
"SHFE","guofu","bu1709","03"
"SHFE","guofu","bu1712","03"
"SHFE","guofu","bu1803","03"
"SHFE","guofu","bu1806","03"
"SHFE","guofu","buefp","03"
"SHFE","guofu","fu1610","01"
"SHFE","guofu","fu1611","01"
"SHFE","guofu","fu1612","01"
"SHFE","guofu","fu1702","01"
"SHFE","guofu","fu1703","01"
"SHFE","guofu","fu1704","01"
"SHFE","guofu","fu1705","01"
"SHFE","guofu","fu1706","01"
"SHFE","guofu","fu1707","01"
"SHFE","guofu","fu1708","01"
"SHFE","guofu","fu1709","01"
"SHFE","guofu","fuefp","01"
"SHFE","guofu","ni1609","02"
"SHFE","guofu","ni1610","02"
"SHFE","guofu","ni1611","02"
"SHFE","guofu","ni1612","02"
"SHFE","guofu","ni1701","02"
"SHFE","guofu","ni1702","02"
"SHFE","guofu","ni1703","02"
"SHFE","guofu","ni1704","02"
"SHFE","guofu","ni1705","02"
"SHFE","guofu","ni1706","02"
"SHFE","guofu","ni1707","02"
"SHFE","guofu","ni1708","02"
"SHFE","guofu","niefp","02"
"SHFE","guofu","sn1609","03"
"SHFE","guofu","sn1610","03"
"SHFE","guofu","sn1611","03"
"SHFE","guofu","sn1612","03"
"SHFE","guofu","sn1701","03"
"SHFE","guofu","sn1702","03"
"SHFE","guofu","sn1703","03"
"SHFE","guofu","sn1704","03"
"SHFE","guofu","sn1705","03"
"SHFE","guofu","sn1706","03"
"SHFE","guofu","sn1707","03"
"SHFE","guofu","sn1708","03"
"SHFE","guofu","snefp","03"
